IPK,Jumlah_Absensi,Waktu_Belajar_Jam,Lulus
3.8,3,10,1
2.5,8,5,0
3.4,4,7,1
2.1,12,2,0
3.9,2,12,1
2.8,6,4,0
3.2,5,8,1
2.7,7,3,0
3.6,4,9,1
2.3,9,4,0
3.5,4,9,1
2.9,7,5,0
3.7,3,11,1
2.2,11,3,0
3.0,6,6,1
2.6,8,4,0
3.3,5,8,1
2.0,13,2,0
3.85,2,11,1
2.45,9,3,0
3.1,6,7,1
2.75,7,4,0
3.45,4,9,1
2.15,10,3,0
3.9,2,13,1
2.8,6,5,0
3.25,5,8,1
2.7,8,3,0
3.65,4,10,1
2.35,9,4,0
3.5,5,9,1
2.9,7,5,0
3.75,3,11,1
2.25,11,3,0
3.05,6,6,1
2.65,8,4,0
3.35,5,8,1
2.05,13,2,0
3.8,2,12,1
2.4,10,3,0
3.15,6,7,1
2.7,7,5,0
3.4,5,9,1
2.2,10,3,0
3.95,2,13,1
2.85,6,5,0
3.3,5,8,1
2.7,8,3,0
3.6,4,10,1
2.3,9,4,0
