IPK,Jumlah_Absensi,Waktu_Belajar_Jam,Lulus,Rasio_Absensi,IPK_x_Study
3.8,3,10,1,0.21428571428571427,38.0
2.5,8,5,0,0.5714285714285714,12.5
3.4,4,7,1,0.2857142857142857,23.8
2.1,12,2,0,0.8571428571428571,4.2
3.9,2,12,1,0.14285714285714285,46.8
2.8,6,4,0,0.42857142857142855,11.2
3.2,5,8,1,0.35714285714285715,25.6
2.7,7,3,0,0.5,8.100000000000001
3.6,4,9,1,0.2857142857142857,32.4
2.3,9,4,0,0.6428571428571429,9.2
3.5,4,9,1,0.2857142857142857,31.5
2.9,7,5,0,0.5,14.5
3.7,3,11,1,0.21428571428571427,40.7
2.2,11,3,0,0.7857142857142857,6.6000000000000005
3.0,6,6,1,0.42857142857142855,18.0
2.6,8,4,0,0.5714285714285714,10.4
3.3,5,8,1,0.35714285714285715,26.4
2.0,13,2,0,0.9285714285714286,4.0
3.85,2,11,1,0.14285714285714285,42.35
2.45,9,3,0,0.6428571428571429,7.3500000000000005
3.1,6,7,1,0.42857142857142855,21.7
2.75,7,4,0,0.5,11.0
3.45,4,9,1,0.2857142857142857,31.05
2.15,10,3,0,0.7142857142857143,6.449999999999999
3.9,2,13,1,0.14285714285714285,50.699999999999996
2.8,6,5,0,0.42857142857142855,14.0
3.25,5,8,1,0.35714285714285715,26.0
2.7,8,3,0,0.5714285714285714,8.100000000000001
3.65,4,10,1,0.2857142857142857,36.5
2.35,9,4,0,0.6428571428571429,9.4
3.5,5,9,1,0.35714285714285715,31.5
3.75,3,11,1,0.21428571428571427,41.25
2.25,11,3,0,0.7857142857142857,6.75
3.05,6,6,1,0.42857142857142855,18.299999999999997
2.65,8,4,0,0.5714285714285714,10.6
3.35,5,8,1,0.35714285714285715,26.8
2.05,13,2,0,0.9285714285714286,4.1
3.8,2,12,1,0.14285714285714285,45.599999999999994
2.4,10,3,0,0.7142857142857143,7.199999999999999
3.15,6,7,1,0.42857142857142855,22.05
2.7,7,5,0,0.5,13.5
3.4,5,9,1,0.35714285714285715,30.599999999999998
2.2,10,3,0,0.7142857142857143,6.6000000000000005
3.95,2,13,1,0.14285714285714285,51.35
2.85,6,5,0,0.42857142857142855,14.25
3.6,4,10,1,0.2857142857142857,36.0
